Sample	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00079
6806S3	2.45E-05	0.89322674	0	0.026043455	0.078375595	0	0	0	0	0	0	0	0	0	0	0	2.45E-05	0	0.000147138	0	0	0	0	0	0	0	0	0	0	0	0	4.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90E-05	0	2.45E-05	0	2.45E-05	0	0
6806S4	0.000214417	0.926025987	0	0.005017368	0.066855354	0	8.58E-05	0	0	0	0	0	0	0	0	0	0	0	0.00012865	0	0	0	4.29E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000300184	0	0
E4344B	0.000168095	0.004538578	0	0.000168095	0.001344764	0	0.026727181	0	0	0	0.000168095	0.009749538	0	0.000168095	0	0.008740965	0.000168095	0.018994789	0	0	0.009245251	0.007228106	0.008068583	0.01596907	0	0	0	0	0.000168095	0	0.018658598	0.724323416	0.008404774	0.000168095	0	0.033282905	0	0	0.000840477	0	0.000168095	0	0	0.000504286	0	0.000336191	0	0	0	0	0.00336191	0	0	0.076819634	0	0	0
9385EB	0.000191889	0.852500959	0.013624152	0	0.108545478	0	0	0	0	0.000127926	0.000191889	0.000703595	0	0	0	0.000959447	0.000191889	0	0	0.0145836	0	0.000703595	0.000383779	0	0	6.40E-05	0	0	0	0	0	6.40E-05	0	0	0	0	0	0	0	0	0.000191889	0.000191889	0	0	0	0	0	0	0.000511705	0	0.000383779	0	0	0	0	0	0
L8895B	2.94E-05	0.003944889	0.241197598	0	0	0.063677579	0.076778144	0.07477626	0.081076307	0.082783797	0	0	0.020578191	0	0.112605982	0.020813707	0	0	0	2.94E-05	0.051784032	0	0	0	0.01003886	0	0.025759538	0.036446067	0.012511776	0	0.03011658	0	5.89E-05	0.009273434	0.012865049	0.01283561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L88951	7.65E-05	7.65E-05	0.326153493	0	0	0.028445176	0.103603948	0.072652843	0.084532099	0.043557273	0	7.65E-05	0.09805647	0	0.093216773	0.001205142	1.91E-05	0	0	0	0.013734792	3.83E-05	0	3.83E-05	0.018727523	0	0.024714974	0.011324508	0.004284949	0	0.020984773	0	1.91E-05	0.005815288	0.024944525	0.010425434	0	0	0	3.83E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L88952	2.54E-05	7.61E-05	0.282885898	0	0	0.017998834	0.087687277	0.070955966	0.035211803	0.049813674	0	0.000228154	0.160037519	0	0.088549193	0.013156894	0	0	0	0	0.008036099	2.54E-05	0	0	0.067533653	0	0.02317033	0.013714604	0.000861916	0	0.023956194	0	0.000101402	0.001267524	0.036555378	0.007047431	0	0.000152103	0	0	2.54E-05	0	0	2.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
L88953	2.59E-05	0.000103788	0.175895174	2.59E-05	0	0.189309808	0.11380384	0.06035288	0.166839647	0.023559938	0	2.59E-05	0.05796575	0	0.061261028	0.009133368	0	0	0	0	0.015412558	0	0	0	0.027088739	0	0.005967826	0.014841723	0.002101713	0	0.026050856	0	0	0.000570835	0.02070576	0.009807992	0	5.19E-05	0	0	0	0	0	0.000129735	0	0	0	0	0	0	0	0	0	0	2.59E-05	0	0
L88954	0.004618851	0.000262861	0.510852422	0	7.51E-05	0.008599324	0.063800225	0.046413819	0.033496057	0.017874578	3.76E-05	0.000488171	0.122117912	0	0.073075479	0.007622982	0.000112655	0	0	0	0.006646639	0.000187758	0	0	0.042883965	0	0.00897484	0.00713481	0.000901239	0	0.014494931	0	0.00045062	0.000713481	0.020127676	0.003304544	0	3.76E-05	0	0	0	0	0	7.51E-05	0	0	0	0	0	0	0	0	0	0	3.76E-05	0	0
9565LB	9.01E-05	0.913286461	0.024157202	0	0	0.00306472	0.00757166	0.003966108	0.003695691	0.004146385	0	0.000540833	0.000360555	0.000360555	0.00838291	0.000811249	0.000630972	0	0	0.011267352	0.002794303	0	0.000630972	0	0.000270416	0	0.001261943	0.002704164	0.000721111	0	0.001983054	0	0	0.000630972	0.000991527	0.000540833	0	0	0	0	0	0	0	0	0	0	0	9.01E-05	0	0.000630972	0	0	0	0	0	0	0
9565L1	5.56E-05	0.992938167	0.000166815	0	0	0	0.000834075	0	0.00011121	5.56E-05	0	0.000500445	0	0.00022242	5.56E-05	0.00022242	0.000278025	0	0	0.003503114	0.00011121	0	0.00044484	0	0	0	0	0	0	0	0	5.56E-05	0	0.00022242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011121	0	0	0	0
9565L2	0	0.978442915	8.29E-05	0	0	0	0.003026283	0	0	0	0	0.002362988	0	8.29E-05	0	0.001989885	0.000124368	0	0	0.001492414	0.000124368	0.000580383	0.001989885	0	4.15E-05	0	0	0	0	0.007918083	0	0	0	0	0	8.29E-05	0	0	0	0	0.000165824	0	0	0	0	0	0	0	4.15E-05	4.15E-05	0	0	0	0	0	0	4.15E-05
9565L3	0	0.972225967	0.000943778	0	0	0.000539302	0.001617905	0.000269651	0	0.000269651	0	0.000808952	0	0	0	0.000134825	0.001078603	0	0	0.002426857	0.000134825	0.000539302	0.000674127	0	0	0	0	0	0	0.01523527	0	0	0.000134825	0.000134825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000269651	0	0
9565L4	3.25E-05	0.96578973	0.000292673	0	0	3.25E-05	0.010015934	0	3.25E-05	0	3.25E-05	0.005300641	0	6.50E-05	6.50E-05	0.003251927	0.000130077	0	0	0.002243829	0.00045527	0.001593444	0.002796657	0	0	0	3.25E-05	3.25E-05	0	0.003869793	0	0	0	0.000162596	0	0	0.000130077	0	6.50E-05	0	0	0	0.000325193	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25E-05
J6329B	6.98E-05	6.98E-05	0	0.000104683	0	0	0.379824133	0	0	0	0.004850304	0.065077814	0	0.09658734	0	0.068322981	3.49E-05	0	0	0	0.043199107	0.060855608	0.061169656	0.019715263	0	0	0	0	0	0	0.024146835	3.49E-05	0.00073278	0.011026589	0	0.008653779	0.022681276	0.007292903	0.010119338	0	0.000628097	0	0.007990788	0.001535348	0	0.024740038	0.003943053	0.002826436	0	0.011480215	0	0	0	0	0	0	0
J63291	0	0.473207236	0	0.000240294	0.000102983	0	0.117812639	0	0	0	0.002505922	0.06738526	0	0.038275377	0	0.036970924	0	0.000102983	0	0.001647729	0.016614603	0.024681611	0.023686108	0.038515671	0	0	0	0	0	0	0.000308949	0.000377605	0.003947685	0.001922351	0	0.004084995	0.011087845	0.007071505	0.006522262	0	0.000274622	0	0.017953383	0.002059662	3.43E-05	0.015550445	0.04641104	0.001750712	0	0.001476091	0	0	0	0	0	0	0
J63293	0.032394366	0.018075117	0.019953052	0	0.012441315	0	0.345305164	0.002347418	0	0.004929577	0.040140845	0.029812207	0	0.046244131	0	0.032629108	0	0	0	0	0.026056338	0.048826291	0.052347418	0.037793427	0	0	0	0	0.00258216	0	0.01314554	0	0	0.003521127	0	0.003755869	0.00399061	0.001408451	0.029342723	0	0	0.000469484	0.026056338	0.003286385	0	0.074882629	0.004460094	0.000234742	0	0.046244131	0.000469484	0	0	0	0	0	0
8911JB	3.28E-05	3.28E-05	0	0.978235178	0	0	6.57E-05	0	0	0	0.000492417	0.000164139	0	0	0	0	0.000196967	0.007977152	0	0	0	0.000229794	0	0.000558072	0	0	0	0	0	0	6.57E-05	6.57E-05	0	0	0	0.000131311	0	0	0	0	0.002921673	0	0	0	0.007813013	3.28E-05	0	0	3.28E-05	0	0.000229794	0	0	0	0	0	0
8911J1	6.76E-05	0.000743193	0	0.775961084	0	0	0.003648402	0	0	0	0.001486386	0.002499831	0	0.005134788	0	0.003107898	0.004526721	0.144855077	0	0	0.001418823	0.001013445	0.001148571	0.005202351	0	6.76E-05	0	0	0	0	0.000540504	6.76E-05	0	0.000202689	0	0.000202689	0	0	0.000743193	0	0	0	0	0	0.041956625	0	0	0	6.76E-05	0.000337815	0	0	0	0	0	0	0
8911J2	0.000504258	0.000280143	0	0.392256835	0.002353205	0.001232631	0.004202152	0	0	0	0.000616316	0.006163156	0	0.008012102	0	0.005939041	0.00638727	0.503809951	0	0	0.000728373	0.003025549	0.001232631	0.006779471	0	0.000560287	0	0	0	0	0.002241147	0	0	0.000168086	0	0.00084043	5.60E-05	5.60E-05	0.000112057	0	0.003249664	0.003641865	0.000336172	0	0.039220081	0	0	0	0.000392201	5.60E-05	0	0	0.000112057	0	0	0	0
8911J4	0.000460264	0.000920528	0	0.357471617	0	0	0	0	0	0	0	0.002761583	0	0.003682111	0	0	0.002608162	0.576403805	0	0	0	0	0.000767106	0.005983431	0	0.000613685	0	0	0	0	0	0.000306843	0	0	0	0	0	0	0	0	0	0	0	0.000460264	0.036821111	0	0	0	0	0	0	0	0	0	0	0	0
P8982B	8.19E-05	0	0.099676481	0.226503952	0.625537491	0	0.002047586	0	0	0	0.000286662	0.004750399	0	0	0	0.004340882	4.10E-05	0	0	0.006019903	0.000163807	0.001228552	0.001269503	0.000859986	0	8.19E-05	0	0	8.19E-05	0	0	0.000122855	4.10E-05	0	0	0.000286662	4.10E-05	0.002129489	0.000122855	0	0.000204759	0	0	0.000204759	0	0	0	0.000204759	0.012858839	0.000122855	0	8.19E-05	0	4.10E-05	0	0	8.19E-05
P89821	0.000206782	0	0.148263027	0.06792804	0.712934243	0	0.000103391	0	0	0	5.17E-05	0.002636476	0	5.17E-05	0	0.002274607	0.000103391	0	0	0.029776675	0	0.002222911	0.000413565	0.020368073	0	0.000310174	0	0	0.000982217	0	0	0.000206782	0	0.000413565	0	0.000516956	0	0.000103391	0.000361869	0	0	0.000206782	0	0	0	0.000310174	0	0	5.17E-05	0.000775434	0.000103391	0	0	0	0	0	0
P89822	0.000152402	0	0.167337235	0.290356011	0.521153377	0	0.000182882	0	0	0	0	0.002804194	0	0.000182882	0	0.001981224	0.000182882	0	0	0.005181663	0	0.001402097	0.000243843	0.003413802	0	0.000243843	0	0	0	0	0	0	0	9.14E-05	0	9.14E-05	0.000152402	0.001371617	6.10E-05	0	0.000121921	0	3.05E-05	3.05E-05	0	0	0	0.000182882	3.05E-05	0	0	0	0	0	0	0.000121921	0
